id,impact,tags,description,help,helpUrl,nodeImpact,nodeHtml,nodeTarget,nodeType,numViolation
color-contrast,serious,cat.color|wcag2aa|wcag143|TTv5|TT13.c|EN-301-549|EN-9.1.4.3|ACT,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=playwright,serious,"<p style=""color: #ccc;"">
 Important notice
</p>",p,any,8
document-title,serious,cat.text-alternatives|wcag2a|wcag242|TTv5|TT12.a|EN-301-549|EN-9.2.4.2|ACT,Ensure each HTML document contains a non-empty <title> element,Documents must have <title> element to aid in navigation,https://dequeuniversity.com/rules/axe/4.10/document-title?application=playwright,serious,"<html><head></head><body><div onclick=""alert('Clicked!')"">
 Click me!
</div>
<img src=""logo.png"">
<input type=""text"" value=""Enter Name"">
<a href=""javascript:void(0);"">
 More info
</a>
<p style=""color: #ccc;"">
 Important notice
</p>
</body></html>",html,any,8
html-has-lang,serious,cat.language|wcag2a|wcag311|TTv5|TT11.a|EN-301-549|EN-9.3.1.1|ACT,Ensure every HTML document has a lang attribute,<html> element must have a lang attribute,https://dequeuniversity.com/rules/axe/4.10/html-has-lang?application=playwright,serious,"<html><head></head><body><div onclick=""alert('Clicked!')"">
 Click me!
</div>
<img src=""logo.png"">
<input type=""text"" value=""Enter Name"">
<a href=""javascript:void(0);"">
 More info
</a>
<p style=""color: #ccc;"">
 Important notice
</p>
</body></html>",html,any,8
image-alt,critical,cat.text-alternatives|wcag2a|wcag111|section508|section508.22.a|TTv5|TT7.a|TT7.b|EN-301-549|EN-9.1.1.1|ACT,Ensure <img> elements have alternate text or a role of none or presentation,Images must have alternate text,https://dequeuniversity.com/rules/axe/4.10/image-alt?application=playwright,critical,"<img src=""logo.png"">",img,any,8
label,critical,cat.forms|wcag2a|wcag412|section508|section508.22.n|TTv5|TT5.c|EN-301-549|EN-9.4.1.2|ACT,Ensure every form element has a label,Form elements must have labels,https://dequeuniversity.com/rules/axe/4.10/label?application=playwright,critical,"<input type=""text"" value=""Enter Name"">",input,any,8
landmark-one-main,moderate,cat.semantics|best-practice,Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=playwright,,"<html><head></head><body><div onclick=""alert('Clicked!')"">
 Click me!
</div>
<img src=""logo.png"">
<input type=""text"" value=""Enter Name"">
<a href=""javascript:void(0);"">
 More info
</a>
<p style=""color: #ccc;"">
 Important notice
</p>
</body></html>",html,any,8
page-has-heading-one,moderate,cat.semantics|best-practice,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=playwright,,"<html><head></head><body><div onclick=""alert('Clicked!')"">
 Click me!
</div>
<img src=""logo.png"">
<input type=""text"" value=""Enter Name"">
<a href=""javascript:void(0);"">
 More info
</a>
<p style=""color: #ccc;"">
 Important notice
</p>
</body></html>",html,any,8
region,moderate,cat.keyboard|best-practice,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=playwright,moderate,"<div onclick=""alert('Clicked!')"">
 Click me!
</div>",div,any,8
region,moderate,cat.keyboard|best-practice,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=playwright,moderate,"<img src=""logo.png"">",img,any,8
region,moderate,cat.keyboard|best-practice,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=playwright,moderate,"<input type=""text"" value=""Enter Name"">",input,any,8
region,moderate,cat.keyboard|best-practice,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=playwright,moderate,"<a href=""javascript:void(0);"">
 More info
</a>",a,any,8
region,moderate,cat.keyboard|best-practice,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=playwright,moderate,"<p style=""color: #ccc;"">
 Important notice
</p>",p,any,8
